2023-04-26 16:27:26,558 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 3c35d364-1f20-4636-af61-026de2b6e3b1
2023-04-26 16:27:26,558 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:24
2023-04-26 16:27:26,559 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:27:26] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:27:33,234 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:27:33,235 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id ac4121de-d831-4f4d-88bb-65df120e2963
2023-04-26 16:27:33,235 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:25
2023-04-26 16:27:33,235 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:27:33] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:27:40,089 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:27:40,090 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 6a2d37e3-3855-4ac6-9eaf-b067f7855dbb
2023-04-26 16:27:40,091 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:26
2023-04-26 16:27:40,092 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:27:40] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:27:46,684 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:27:46,685 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id d4d043e4-57c3-427e-982f-a358541e42e4
2023-04-26 16:27:46,685 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:27
2023-04-26 16:27:46,685 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:27:46] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:27:49,004 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:27:49,005 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id f2803fcf-9792-4005-9b62-7a9a20f50cc6
2023-04-26 16:27:49,005 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:28
