2023-04-26 16:01:16,639 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:17
2023-04-26 16:01:16,639 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:16] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:18,992 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:18,994 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id fa730f32-b607-447b-a73c-ebfadf5a5df6
2023-04-26 16:01:18,994 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:18
2023-04-26 16:01:18,995 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:18] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:21,295 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:21,296 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 959da52e-4e3c-4d38-bd86-5bccf2facbe4
2023-04-26 16:01:21,331 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:19
2023-04-26 16:01:21,332 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:21] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:23,583 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:23,583 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 73a9b37a-8b53-43f4-8dec-306f824bd765
2023-04-26 16:01:23,583 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:20
2023-04-26 16:01:23,584 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:23] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:25,886 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:25,888 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 783752be-9a1b-4da6-9684-4a53e90bab8f
2023-04-26 16:01:25,888 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:21
2023-04-26 16:01:25,889 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:25] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:28,203 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:28,206 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 4d7d9a13-9564-4093-a068-7390190ab769
2023-04-26 16:01:28,206 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:22
2023-04-26 16:01:28,207 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:28] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:30,499 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:30,500 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id e3ccb736-5bb5-4001-bf12-62df7c64e006
2023-04-26 16:01:30,500 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:23
2023-04-26 16:01:30,500 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:30] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:32,793 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:32,794 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 3c35d364-1f20-4636-af61-026de2b6e3b1
2023-04-26 16:01:32,795 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:24
2023-04-26 16:01:32,796 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:32] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:35,099 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:35,100 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id ac4121de-d831-4f4d-88bb-65df120e2963
2023-04-26 16:01:35,100 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:25
2023-04-26 16:01:35,100 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:35] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:37,436 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:37,437 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 6a2d37e3-3855-4ac6-9eaf-b067f7855dbb
2023-04-26 16:01:37,437 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:26
2023-04-26 16:01:37,438 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:37] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:39,740 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:39,741 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id d4d043e4-57c3-427e-982f-a358541e42e4
2023-04-26 16:01:39,777 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:27
2023-04-26 16:01:39,777 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:39] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:42,086 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:42,086 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id f2803fcf-9792-4005-9b62-7a9a20f50cc6
2023-04-26 16:01:42,086 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:28
2023-04-26 16:01:42,087 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:42] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:44,382 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:44,384 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 8ae59056-9914-4c8f-9bcc-bc69456b0b83
2023-04-26 16:01:44,384 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:29
2023-04-26 16:01:44,385 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:44] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:46,685 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:46,686 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 7cb4f1a1-c40d-4a8d-861a-bdb5942d4a64
2023-04-26 16:01:46,686 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:30
2023-04-26 16:01:46,688 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:46] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:49,001 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:49,003 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 1b5b4113-23ae-4939-89d9-755e2ef784f4
2023-04-26 16:01:49,003 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:31
2023-04-26 16:01:49,004 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:49] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:51,335 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:51,335 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 7387a07f-10eb-4c72-9b26-d97de773dc24
2023-04-26 16:01:51,335 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:32
2023-04-26 16:01:51,336 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:51] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:53,646 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:53,646 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id c683b8f5-d3d7-40cc-af18-b186889c7ba1
2023-04-26 16:01:53,646 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:33
2023-04-26 16:01:53,647 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:53] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:55,958 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:55,959 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 29d274a4-7598-4e49-8593-b0aa76544cee
2023-04-26 16:01:55,959 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:34
2023-04-26 16:01:55,960 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:55] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:58,254 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:58,254 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id abb7be9d-565a-42a4-8b2d-eaa5cf7f7022
2023-04-26 16:01:58,254 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:35
2023-04-26 16:01:58,254 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:58] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:02:00,524 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:02:00,524 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id dde9a337-bf6b-47e5-be12-6633763a088e
2023-04-26 16:02:00,525 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:36
2023-04-26 16:02:00,525 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:02:00] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:02:02,861 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:02:02,862 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 280ca4d7-464b-4764-83a8-a40efe6b7263
2023-04-26 16:02:02,862 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:37
2023-04-26 16:02:02,862 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:02:02] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:02:05,212 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:02:05,214 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 9614611f-f446-4bf6-86e0-9dc4a5cca7c6
2023-04-26 16:02:05,214 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:38
